t,x
1,"17,425"
2,"18,024"
3,"18,380"
4,"18,341"
5,"18,891"
6,"18,554"
7,"18,178"
8,"17,837"
9,"18,841"
10,"19,594"
11,"19,905"
12,"20,329"
13,"20,174"
14,"19,744"
15,"19,179"
16,"19,706"
17,"21,438"
18,"21,379"
19,"22,041"
20,"22,498"
21,"22,236"
22,"21,559"
23,"22,430"
24,"23,888"
25,"24,522"
26,"25,219"
27,"25,769"
28,"25,781"
29,"25,110"
30,"25,133"
31,"27,550"
32,"27,246"
33,"29,362"
34,"28,647"
35,"29,409"
36,"28,190"
37,"28,717"
38,"31,299"
39,"32,196"
40,"33,208"
41,"34,303"
42,"34,325"
43,"33,740"
44,"34,073"
45,"36,339"
46,"37,141"
47,"37,678"
48,"35,660"
49,"37,930"
50,"36,446"
51,"36,582"
52,"40,096"
53,"39,849"
54,"40,251"
55,"40,993"
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
