t,x
1,17425
2,18024
3,18380
4,18341
5,18891
6,18554
7,18178
8,17837
9,18841
10,19594
11,19905
12,20329
13,20174
14,19744
15,19179
16,19706
17,21438
18,21379
19,22041
20,22498
21,22236
22,21559
23,22430
24,23888
25,24522
26,25219
27,25769
28,25781
29,25110
30,25133
31,27550
32,27246
33,29362
34,28647
35,29409
36,28190
37,28717
38,31299
39,32196
40,33208
41,34303
42,34325
43,33740
44,34073
45,36339
46,37141
47,37678
48,35660
49,37930
50,36446
51,36582
52,40096
53,39849
54,40251
55,40993
56,40402
57,39008
